ticker,confirmation_score,signal,confirmation_price,entry_time,close_price,max_gain_%,max_drawdown_%,notes,entry_price,mark_price,remaining_shares,shares_sold_10,shares_sold_20,shares_sold_30,shares_sold_protect,shares_sold_stop,shares_sold_time,exit_reason,resolved,success,p_l_100_shares,strategy_return_%,candidate_rank,sector,earnings_blocked,selected,selection_note,position_shares,position_cost,position_risk,sized_p_l
APLE,50,🔥 BUY TODAY,16.67,09:50:00,16.615,2.18,-2.38,"above open, above prior close, above VWAP, broke first 15m high, not overextended",16.6967,17.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,33.33,2.0,16,Real Estate,False,True,selected,92,1536.1,124.3,30.72
BGC,50,🔥 BUY TODAY,12.195,09:50:00,12.575,5.55,-7.72,"above open, above prior close, above VWAP, broke first 15m high, not overextended",12.2072,11.4525,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,-75.47,-6.18,32,Financial,False,False,daily limit,0,0.0,0.0,0.0
BRBR,50,🔥 BUY TODAY,10.585,09:50:00,11.27,18.4,-0.9,"above open, above prior close, above VWAP, broke first 15m high, not overextended",10.5956,11.55,50.0,50.0,0.0,0.0,0.0,0.0,0.0,SCALE +10%,False,True,100.12,9.45,36,Consumer Defensive,False,False,daily limit,0,0.0,0.0,0.0
CAG,50,🔥 BUY TODAY,13.21,09:50:00,13.435,6.52,-1.16,"above open, above prior close, above VWAP, broke first 15m high, not overextended",13.2132,14.055,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,84.18,6.37,37,Consumer Defensive,False,False,daily limit,0,0.0,0.0,0.0
DHC,50,🔥 BUY TODAY,8.975,09:50:00,9.135,7.13,-0.27,"above open, above prior close, above VWAP, broke first 15m high, not overextended",8.984,9.51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,52.6,5.86,50,Real Estate,False,False,daily limit,0,0.0,0.0,0.0
DRH,50,🔥 BUY TODAY,12.315,09:50:00,12.285,1.6,-1.96,"above open, above prior close, above VWAP, broke first 15m high, not overextended",12.3423,12.47,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,12.77,1.03,52,Real Estate,False,False,daily limit,0,0.0,0.0,0.0
FLG,50,🔥 BUY TODAY,15.055,09:50:00,15.045,1.56,-1.29,"above open, above prior close, above VWAP, broke first 15m high, not overextended",15.0701,15.26,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,18.99,1.26,57,Financial,False,False,daily limit,0,0.0,0.0,0.0
FNB,50,🔥 BUY TODAY,18.465,09:50:00,18.76,4.5,-0.15,"above open, above prior close, above VWAP, broke first 15m high, not overextended",18.4885,19.22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,73.15,3.96,60,Financial,False,False,daily limit,0,0.0,0.0,0.0
GNW,50,🔥 BUY TODAY,9.06,09:50:00,9.17,5.36,-0.27,"above open, above prior close, above VWAP, broke first 15m high, not overextended",9.0691,9.47,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,40.09,4.42,66,Financial,False,False,daily limit,0,0.0,0.0,0.0
HBAN,50,🔥 BUY TODAY,17.145,09:50:00,17.415,5.81,-0.45,"above open, above prior close, above VWAP, broke first 15m high, not overextended",17.1621,17.805,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,64.29,3.75,71,Financial,False,False,daily limit,0,0.0,0.0,0.0
IBRX,50,🔥 BUY TODAY,7.3407,09:50:00,7.31,20.37,-1.26,"above open, above prior close, above VWAP, broke first 15m high, not overextended",7.3523,8.69,25.0,50.0,25.0,0.0,0.0,0.0,0.0,SCALE +20%,False,True,106.34,14.46,74,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
JUNS,50,🔥 BUY TODAY,0.2293,09:50:00,0.24,30.85,-1.84,"above open, above prior close, above VWAP, broke first 15m high, not overextended",0.2279,0.2821,0.0,50.0,25.0,0.0,25.0,0.0,0.0,PROTECT +10%,True,True,2.82,12.39,82,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
MIR,50,🔥 BUY TODAY,18.73,09:50:00,18.78,4.27,-3.83,"above open, above prior close, above VWAP, broke first 15m high, not overextended",18.7487,18.44,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,-30.87,-1.65,95,Industrials,False,False,daily limit,0,0.0,0.0,0.0
PCG,50,🔥 BUY TODAY,16.705,09:50:00,16.78,4.12,-0.76,"above open, above prior close, above VWAP, broke first 15m high, not overextended",16.7217,17.345,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,62.33,3.73,114,Utilities,False,False,daily limit,0,0.0,0.0,0.0
RC,50,🔥 BUY TODAY,1.665,09:50:00,1.685,9.19,-1.0,"above open, above prior close, above VWAP, broke first 15m high, not overextended",1.6667,1.775,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,10.83,6.5,123,Real Estate,False,False,daily limit,0,0.0,0.0,0.0
SBRA,50,🔥 BUY TODAY,18.455,09:50:00,18.625,6.26,-0.67,"above open, above prior close, above VWAP, broke first 15m high, not overextended",18.4735,19.52,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,104.65,5.67,132,Real Estate,False,False,daily limit,0,0.0,0.0,0.0
XERS,50,🔥 BUY TODAY,7.04,09:50:00,7.21,9.68,-0.1,"above open, above prior close, above VWAP, broke first 15m high, not overextended",7.0571,7.65,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,59.29,8.4,153,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
AAL,40,🔥 BUY TODAY,16.155,09:50:00,16.135,11.56,-0.93,"above open, above prior close, above VWAP, not overextended",16.1712,17.87,50.0,50.0,0.0,0.0,0.0,0.0,0.0,SCALE +10%,False,True,164.91,10.2,1,Industrials,False,False,daily limit,0,0.0,0.0,0.0
ADPT,40,🔥 BUY TODAY,17.58,09:50:00,17.225,19.4,-2.09,"above open, above prior close, above VWAP, not overextended",17.5876,20.93,50.0,50.0,0.0,0.0,0.0,0.0,0.0,SCALE +10%,False,True,254.09,14.45,5,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
AGNT,40,🔥 BUY TODAY,4.705,09:50:00,4.77,18.69,-1.44,"above open, above prior close, above VWAP, not overextended",4.7097,5.51,50.0,50.0,0.0,0.0,0.0,0.0,0.0,SCALE +10%,False,True,63.3,13.44,7,Real Estate,False,False,daily limit,0,0.0,0.0,0.0
