Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,strategy_score,strategy_signal,day_move_%,week_move_%,rsi_14,sma_20,sma_50,distance_to_20d_high_%,downside_to_10d_low_%,relative_volume_20d,strategy_notes,earnings_date,sessions_to_earnings,earnings_blocked,earnings_status
HAPN,Happen Inc,Financial,Banks - Regional,USA,2270000000.0,13.17,19.67,0.0108,3991683.0,54,🔥 BUY NEXT SESSION,1.08,4.57,67.9,18.12,17.21,4.42,15.16,1.67,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, range compression, prior accumulation, volume confirmation",2026-07-28,21,False,CLEAR
CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods,USA,6590000000.0,,13.78,0.0125,18657258.0,53,🔥 BUY NEXT SESSION,1.25,4.71,68.5,13.25,13.73,2.03,7.49,1.16,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, prior accumulation, manageable downside, volume confirmation",2026-07-15,12,False,CLEAR
GT,Goodyear Tire & Rubber Co,Consumer Cyclical,Auto Parts,USA,1850000000.0,,6.44,0.023799999999999998,9642203.0,53,🔥 BUY NEXT SESSION,2.38,4.55,67.1,6.06,6.34,5.28,9.9,1.11,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, prior accumulation, manageable downside, volume confirmation",2026-08-06,28,False,CLEAR
SBH,Sally Beauty Holdings Inc,Consumer Cyclical,Specialty Retail,USA,1350000000.0,7.8,14.14,-0.0126,2288024.0,53,🔥 BUY NEXT SESSION,-1.26,8.35,68.8,13.15,13.37,1.84,9.78,1.49,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, prior accumulation, manageable downside, volume confirmation",2026-08-04,26,False,CLEAR
UA,Under Armour Inc,Consumer Cyclical,Apparel Manufacturing,USA,2550000000.0,,5.89,0.0017000000000000001,3141368.0,53,🔥 BUY NEXT SESSION,0.17,6.51,62.6,5.63,5.72,2.29,6.9,1.11,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, prior accumulation, manageable downside, volume confirmation",2026-08-07,29,False,CLEAR
UAA,Under Armour Inc,Consumer Cyclical,Apparel Manufacturing,USA,2550000000.0,,6.08,0.0033,9389111.0,53,🔥 BUY NEXT SESSION,0.33,6.67,62.8,5.8,5.89,1.97,7.8,1.32,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, prior accumulation, manageable downside, volume confirmation",2026-08-07,29,False,CLEAR
PEB,Pebblebrook Hotel Trust,Real Estate,REIT - Hotel & Motel,USA,2140000000.0000002,,18.9,0.015,2725782.0,50,🔥 BUY NEXT SESSION,1.5,3.11,68.2,17.46,15.57,3.7,9.37,0.84,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, range compression, manageable downside",2026-07-29,22,False,CLEAR
AHCO,AdaptHealth Corp,Healthcare,Medical Devices,USA,1360000000.0,,10.02,-0.001,2068220.0,48,🔥 BUY NEXT SESSION,-0.1,5.14,56.0,9.89,11.03,4.79,6.09,1.44,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, near 20-day breakout, prior accumulation, manageable downside, volume confirmation",2026-08-04,26,False,CLEAR
CAI,Caris Life Sciences Inc,Healthcare,Biotechnology,USA,5290000000.0,,18.7,0.030299999999999997,3853763.0,48,🔥 BUY NEXT SESSION,3.03,4.7,60.6,17.3,17.66,0.48,11.18,1.52,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, manageable downside, volume confirmation",2026-05-07,-34,False,CLEAR
KREF,KKR Real Estate Finance Trust Inc,Real Estate,REIT - Mortgage,USA,452870000.0,,7.0,-0.005699999999999999,2379963.0,48,🔥 BUY NEXT SESSION,-0.57,2.94,48.6,6.97,6.65,5.71,3.4,2.33,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, above 50SMA, near 20-day breakout, manageable downside, volume confirmation",2026-07-22,17,False,CLEAR
MFA,MFA Financial Inc,Real Estate,REIT - Mortgage,USA,978370000.0,11.04,9.63,0.0021,1759631.0,48,🔥 BUY NEXT SESSION,0.21,2.67,62.6,9.39,9.67,0.52,4.79,1.12,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, near 20-day breakout, prior accumulation, manageable downside, volume confirmation",2026-08-05,27,False,CLEAR
PMT,Pennymac Mortgage Investment Trust,Real Estate,REIT - Mortgage,USA,916500000.0,9.07,10.51,0.0048,1232961.0,48,🔥 BUY NEXT SESSION,0.48,4.47,56.9,10.18,10.86,0.86,6.92,1.02,"early weekly momentum, controlled daily move, healthy RSI, above 20SMA, near 20-day breakout, prior accumulation, manageable downside, volume confirmation",2026-07-21,16,False,CLEAR
