ticker,open,current,prior_close,vwap,first_15m_high,current_vs_open_%,current_vs_prior_%,score,signal,notes,target_10,target_20,target_30,stop_8
NVD,5.24,5.28,5.22,5.26,5.25,0.86,1.15,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",5.81,6.34,6.86,4.86
GORO,1.29,1.33,1.32,1.28,1.3,3.1,1.14,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",1.46,1.6,1.73,1.22
KVUE,18.46,18.8,18.4,18.76,18.67,1.84,2.2,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",20.68,22.56,24.44,17.3
LEG,11.02,11.43,10.91,11.42,11.27,3.72,4.77,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",12.57,13.72,14.86,10.52
MFA,9.46,9.61,9.41,9.61,9.56,1.59,2.07,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",10.57,11.53,12.49,8.84
MQ,3.82,3.98,3.82,3.93,3.91,4.19,4.19,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",4.38,4.78,5.17,3.66
MRVI,5.53,5.76,5.36,5.68,5.6,4.07,7.27,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",6.33,6.91,7.48,5.29
IRT,16.2,16.52,16.26,16.45,16.5,1.94,1.6,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",18.17,19.82,21.48,15.2
NWBI,14.87,15.01,14.87,15.0,14.91,0.94,0.94,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",16.51,18.01,19.51,13.81
OI,9.22,9.59,9.1,9.38,9.35,4.01,5.38,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",10.55,11.51,12.47,8.82
PCG,16.95,17.11,16.78,17.04,17.1,0.94,1.97,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",18.82,20.53,22.24,15.74
PLTD,9.1,9.16,8.9,9.05,9.11,0.66,2.92,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",10.08,10.99,11.91,8.43
PMT,10.09,10.48,10.06,10.35,10.25,3.91,4.22,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",11.53,12.58,13.63,9.65
PRCH,12.97,13.15,12.91,13.0,13.15,1.39,1.86,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",14.46,15.78,17.09,12.1
CERS,2.58,2.64,2.57,2.61,2.62,2.52,2.92,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",2.91,3.17,3.44,2.43
HAPN,18.9,19.47,18.95,19.46,19.16,3.02,2.74,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",21.42,23.36,25.31,17.91
CAG,13.45,13.6,13.44,13.55,13.56,1.15,1.27,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",14.97,16.33,17.69,12.52
SBRA,18.72,19.09,18.62,19.07,18.94,1.98,2.5,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",21.0,22.91,24.82,17.56
VLY,14.41,14.61,14.39,14.55,14.46,1.39,1.56,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",16.07,17.53,18.99,13.44
SLDB,8.84,9.26,8.78,9.14,8.93,4.75,5.47,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",10.19,11.11,12.04,8.52
FNB,18.8,18.99,18.76,18.96,18.87,1.01,1.23,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",20.89,22.79,24.69,17.47
AMRX,16.81,17.28,16.65,17.26,17.11,2.8,3.81,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",19.01,20.74,22.46,15.9
AMLX,16.31,17.01,16.35,16.86,16.49,4.29,4.04,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",18.71,20.41,22.11,15.65
DHC,9.12,9.36,9.14,9.35,9.22,2.69,2.52,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",10.3,11.24,12.17,8.62
GNW,9.2,9.3,9.17,9.28,9.2,1.09,1.42,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",10.23,11.16,12.09,8.56
GGLS,5.87,5.93,5.91,5.89,5.88,1.11,0.34,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",6.53,7.12,7.72,5.46
UA,5.62,5.88,5.61,5.83,5.7,4.54,4.63,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",6.46,7.05,7.64,5.41
SHC,15.99,16.69,15.83,16.48,16.37,4.41,5.46,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",18.36,20.03,21.7,15.36
UAA,5.87,6.07,5.78,6.02,5.87,3.32,4.84,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",6.67,7.28,7.88,5.58
UTZ,7.08,7.36,7.06,7.3,7.26,3.95,4.25,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",8.1,8.83,9.57,6.77
AEO,17.87,18.5,17.72,18.47,18.14,3.5,4.37,50,🔥 BUY TODAY,"above open, above prior close, above VWAP, broke first 15m high, not overextended",20.34,22.19,24.04,17.02
JUNS,0.24,0.25,0.24,0.26,0.24,3.75,3.75,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",0.27,0.3,0.32,0.23
JBLU,5.67,5.8,5.53,5.78,5.83,2.2,4.89,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",6.37,6.95,7.53,5.33
IMMX,9.99,10.02,9.9,10.12,9.99,0.3,1.26,40,🔥 BUY TODAY,"above open, above prior close, broke first 15m high, not overextended",11.02,12.02,13.03,9.22
IMNM,19.53,19.77,19.34,19.56,19.86,1.23,2.2,40,🔥 BUY TODAY,"above open, above prior close, above VWAP, not overextended",21.75,23.72,25.7,18.19
