ticker,price,day_%,week_%,rvol,rsi,compression_%,dist_20d_high_%,risk_to_5d_low_%,target_10%,target_20%,target_30%,score,signal,why
AMZD,9.63,0.0,4.0,1.27,60.5,4.62,1.13,3.32,10.59,11.56,12.52,68,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, tight squeeze, coiled under breakout, risk under 8%, buying volume present"
ABUS,4.46,0.22,1.59,1.22,56.5,2.71,3.88,0.67,4.91,5.35,5.8,68,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, tight squeeze, coiled under breakout, risk under 8%, buying volume present"
DRIP,5.42,2.65,3.83,1.03,70.3,4.17,1.45,2.58,5.96,6.5,7.05,66,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, prior accumulation, tight squeeze, coiled under breakout, risk under 8%"
ELDN,3.96,0.25,13.79,1.28,64.8,7.03,0.0,6.57,4.36,4.75,5.15,66,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, prior accumulation, moderate compression, near breakout, risk under 8%, buying volume present"
GORO,1.34,0.75,3.88,1.59,59.0,2.29,3.6,2.24,1.47,1.61,1.74,65,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, tight squeeze, coiled under breakout, risk under 8%, buying volume present"
LYFT,14.4,4.2,0.84,1.15,53.8,4.2,3.1,4.03,15.84,17.28,18.72,62,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, tight squeeze, coiled under breakout, risk under 8%"
MITK,17.38,0.35,1.82,1.14,64.4,3.02,2.74,2.93,19.12,20.86,22.59,62,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, tight squeeze, coiled under breakout, risk under 8%"
IRT,16.51,1.48,0.18,0.75,54.9,4.36,2.77,4.18,18.16,19.81,21.46,62,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, tight squeeze, coiled under breakout, risk under 8%"
GAB,5.54,0.18,0.91,1.21,45.2,2.96,1.95,2.35,6.09,6.65,7.2,60,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, tight squeeze, coiled under breakout, risk under 8%, buying volume present"
LEG,11.44,4.76,5.44,2.04,73.2,7.32,0.0,6.82,12.58,13.73,14.87,60,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, prior accumulation, moderate compression, near breakout, risk under 8%, buying volume present"
SHC,16.69,5.37,4.05,1.78,67.6,7.96,0.0,7.37,18.36,20.03,21.7,58,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, prior accumulation, moderate compression, near breakout, risk under 8%, buying volume present"
