Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AAL,American Airlines Group Inc,Industrials,Airlines,USA,11530000000.0,56.94,17.44,0.0805,207167159.0
ABSI,Absci Corp,Healthcare,Biotechnology,USA,1570000000.0,,10.07,0.35960000000000003,38143843.0
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,881020000.0,5.42,4.46,0.0022,2876751.0
ACRS,Aclaris Therapeutics Inc,Healthcare,Biotechnology,USA,668990000.0,,4.79,-0.0264,1482241.0
ADPT,Adaptive Biotechnologies Corp,Healthcare,Diagnostics & Research,USA,3100000000.0,,19.34,0.1225,5515949.0
AEO,American Eagle Outfitters Inc,Consumer Cyclical,Apparel Retail,USA,3100000000.0,11.44,18.5,0.0434,5318655.0
AGNT,AGNT Inc,Real Estate,Real Estate Services,USA,857770000.0,,5.22,0.0966,1742109.0
AIRJ,AirJoule Technologies Corp,Industrials,Building Products & Equipment,USA,359100000.0,,4.96,-0.0139,1781507.0
ALDX,Aldeyra Therapeutics Inc,Healthcare,Biotechnology,USA,114610000.0,,1.9,-0.0594,2120173.0
ALKT,Alkami Technology Inc,Technology,Software - Application,USA,1710000000.0,,15.95,0.059800000000000006,2498330.0
ALOY,REalloys Inc,Basic Materials,Other Industrial Metals & Mining,USA,1020000000.0,,16.67,-0.1304,2501380.0
ALTO,Alto Ingredients Inc,Basic Materials,Specialty Chemicals,USA,391300000.0,13.78,5.05,-0.011699999999999999,2509846.0
AMLX,Amylyx Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1890000000.0,,17.0,0.0385,1510475.0
AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,5510000000.0,46.3,17.27,0.0366,2043432.0
ANNX,Annexon Inc,Healthcare,Biotechnology,USA,868370000.0,,5.3,0.0038,3302543.0
APLE,Apple Hospitality REIT Inc,Real Estate,REIT - Hotel & Motel,USA,3930000000.0,22.95,16.64,0.0024,5018373.0
APPS,Digital Turbine Inc,Technology,Software - Application,USA,1220000000.0,,10.14,0.095,6561968.0
AQST,Aquestive Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,625990000.0,,4.99,-0.008,2218258.0
