ticker,price,day_%,week_%,rvol,rsi,compression_%,dist_20d_high_%,risk_to_5d_low_%,target_10%,target_20%,target_30%,score,signal,why
FWRD,13.4,2.45,-2.69,0.2,84.5,4.82,2.69,2.39,14.74,16.08,17.42,49,🔥 BUY NEXT SESSION,"tradeable price, not chasing today, above 20SMA, prior accumulation, tight squeeze, coiled under breakout, risk under 8%, penalty: RSI overheated"
RZLV,2.6,0.58,-0.95,0.47,51.3,5.43,12.92,0.58,2.85,3.11,3.37,46,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, prior accumulation, moderate compression, risk under 8%"
ONEG,1.63,4.81,8.28,0.08,74.3,25.0,16.15,4.59,1.8,1.96,2.13,39,👀 PRE-BREAKOUT WATCH,"tradeable price, early weekly momentum, not chasing today, above 20SMA, prior accumulation, risk under 8%"
UBER,73.96,6.16,0.97,1.05,55.6,6.16,0.0,5.8,81.36,88.75,96.15,38,👀 PRE-BREAKOUT WATCH,"early weekly momentum, healthy RSI, above 20SMA, above 50SMA, moderate compression, near breakout, risk under 8%"
TENX,13.1,-3.96,15.62,0.48,71.9,14.91,3.96,9.39,14.41,15.72,17.03,34,🟡 MONITOR,"tradeable price, above 20SMA, above 50SMA, prior accumulation, coiled under breakout"
RKT,14.94,10.95,7.36,1.54,60.8,13.05,0.0,11.54,16.44,17.93,19.43,31,🟡 MONITOR,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: too late today"
PFE,24.08,-2.61,-7.55,1.16,34.7,7.66,8.15,0.0,26.48,28.89,31.3,16,🔴 PASS,"tradeable price, moderate compression, risk under 8%"
URG,1.37,-3.19,-16.77,0.44,23.0,13.55,35.0,0.0,1.5,1.64,1.77,10,🔴 PASS,"tradeable price, risk under 8%"
RDW,11.52,-5.77,-14.7,0.27,31.4,24.71,55.54,0.0,12.67,13.82,14.97,10,🔴 PASS,"tradeable price, risk under 8%"
DGXX,5.88,-12.5,-12.63,0.76,34.0,14.8,27.5,0.0,6.47,7.06,7.64,10,🔴 PASS,"tradeable price, risk under 8%"
WEN,8.09,29.31,19.57,10.52,67.4,31.19,0.0,23.78,8.9,9.71,10.52,9,🔴 PASS,"tradeable price, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: too late today, penalty: already running"
GPRO,0.7,-3.24,-11.92,0.66,11.3,14.97,44.71,0.0,0.77,0.84,0.91,6,🔴 PASS,risk under 8%
